,report_ending_weekly_starting,number_of_sessions,average_session_length,number_of_unique_clients,tb_downloaded,tb_uploaded,cumulative_bandwidth,cumulative_sessions,cumulative_subscribers,sessions_per_user,GB_per_session,log_number_of_sessions,log_number_of_unique_clients,log_tb_downloaded,week
143,2022-10-02,4007644,00:22:47,229566,109.52,19.03,28440.93,3130421010,12056612,17.457480637376616,0.032076202377257064,15.203714095446609,12.343945848838393,4.696107180980193,6
144,2022-10-09,4224905,00:22:57,237243,119.5,19.86,28440.39,3130421033,12102179,17.808344187183604,0.03298535706720033,15.256507333313515,12.376840211295068,4.783316371371566,6
145,2022-10-16,4184761,00:23:10,238359,119.74,20.09,28440.39,3130421312,12102179,17.556547057170068,0.03341409461615609,15.246960151553322,12.381533219517326,4.785322725497206,6
146,2022-10-23,4205425,00:23:10,238476,120.37,20.21,28440.39,3130421661,12197462,17.634583773629213,0.03342825041464299,15.25188591643652,12.382023955316285,4.790570332391644,6
147,2022-10-30,4331459,00:23:04,245251,123.4,21.25,28440.39,3130421677,12248067,17.6613306367762,0.03339521394523185,15.281414994724418,12.410037454891263,4.8154311114712876,6
148,2022-11-06,4555980,00:23:00,250342,124.21,22.4,28440.39,3130421677,12248067,18.199023735529796,0.0321796847220576,15.331951213723947,12.430583261984879,4.821973681556102,6
149,2022-11-13,4243050,00:23:06,238843,123.01,19.96,28440.39,3130421753,12287309,17.765017187022437,0.03369510140111476,15.260792908230043,12.383561711292142,4.8122656528806935,6
150,2022-11-20,4033075,00:22:52,230120,120.24,17.1,28440.39,3130421840,12320340,17.52596471406223,0.03405342077695059,15.210039670260821,12.34635619097723,4.789489745444719,6
151,2022-11-27,3735131,00:23:20,227900,121.24,19.13,28580.39,3134153334,12357806,16.38934181658622,0.0375810112148677,15.133293449561835,12.336662215233776,4.797772052189602,6
152,2022-12-04,4110764,00:23:02,235463,124.02,19.4,28580.39,3134153450,12396241,17.458216365203874,0.034888891699937044,15.229119457275228,12.369309067568604,4.820442842921731,6
